,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
118,Trinidad and Tobago,115843,573,3467,7,91414,,20962,22,82348,2465,587130,417369,1406742,North America,12,406,2,407,5,14901
119,Guadeloupe,113966,,795,,2250,,110921,21,284748,1986,830521,2075089,400234,North America,4,503,0,,,277140
120,Angola,98409,45,1896,,96034,138,479,2,2852,55,1391201,40325,34499856,Africa,351,18196,25,1,,14
121,Martinique,92796,,841,,104,,91851,33,247589,2244,602739,1608166,374799,North America,4,446,1,,,245067
122,DRC,85686,176,1316,38,50930,,33440,,912,14,846704,9016,93912330,Africa,1096,71362,111,2,0,356
123,Senegal,85237,31,1956,,82203,291,1078,8,4885,112,989244,56693,17449216,Africa,205,8921,18,2,,62
124,Malawi,84844,31,2573,2,70945,448,11326,67,4259,129,534188,26816,19920125,Africa,235,7742,37,2,0,569
125,Ivory Coast,80938,18,787,1,78685,81,1466,,2952,29,1369892,49955,27422498,Africa,339,34844,20,0,0,53
126,Iceland,78201,1367,50,1,66541,3432,11610,3,226809,145,1638467,4752100,344788,Europe,4,6896,0,3965,3,33673
127,French Guiana,76773,264,383,,11254,,65136,15,246813,1231,575461,1850018,311057,South America,4,812,1,849,,209402
128,Suriname,75531,129,1283,4,49296,4,24952,12,126933,2156,219589,369030,595044,South America,8,464,3,217,7,41933
129,Malta,69175,175,570,1,65862,236,2743,5,156002,1285,1211456,2732043,443425,Europe,6,778,0,395,2,6186
130,Eswatini,68579,26,1378,,67019,62,182,11,58148,1168,462654,392283,1179387,Africa,17,856,3,22,,154
131,Fiji,63356,29,813,2,60937,178,1606,,69864,897,493403,544089,906842,Australia/Oceania,14,1115,2,32,2,1771
132,Guyana,61616,16,1182,1,55064,319,5370,17,77736,1491,517815,653290,792627,South America,13,671,2,20,1,6775
133,Madagascar,61434,,1307,,54687,,5440,224,2131,45,379426,13161,28828960,Africa,469,22057,76,,,189
134,Sudan,59194,320,3604,16,40329,,15261,,1301,79,562941,12376,45486126,Africa,768,12621,81,7,0,336
135,Mauritania,58490,32,969,2,56715,167,806,30,12072,200,703760,145254,4845014,Africa,83,5000,7,7,0,166
136,Cabo Verde,55802,17,398,1,55239,8,165,23,98651,704,400982,708887,565650,Africa,10,1421,1,30,2,292
137,Belize,54179,635,630,1,47360,1649,6189,4,132411,1540,474745,1160255,409173,North America,8,649,1,1552,2,15126
138,Syria,51915,,3008,,40573,,8334,,2856,165,146269,8045,18180310,Asia,350,6044,124,,,458
139,French Polynesia,49521,,636,,,,,7,174673,2243,,,283507,Australia/Oceania,6,446,,,,54267
140,Barbados,48658,419,286,,36155,244,12217,,168988,993,553763,1923202,287938,North America,6,1007,1,1455,,42429
141,Gabon,47362,115,302,,43264,407,3796,4,20506,131,1551137,671576,2309698,Africa,49,7648,1,50,,1644
142,Channel Islands,44754,1015,135,,41437,1159,3182,,253667,765,1189402,6741572,176428,Europe,4,1307,0,5753,,18036
143,Seychelles,38120,349,157,3,36737,1220,1226,,383802,1581,,,99322,Africa,3,633,,3514,30,12344
144,Curaçao,37854,45,247,1,36391,100,1216,3,229186,1495,462163,2798156,165167,North America,4,669,0,272,6,7362
145,Papua New Guinea,37788,398,597,,36050,112,1141,7,4099,65,249149,27028,9218083,Australia/Oceania,244,15441,37,43,,124
146,Burundi,37562,,38,,773,,36751,,3015,3,345742,27755,12456706,Africa,332,327808,36,,,2950
